name,location,tags
Landmark 81,Quận Bình Thạnh,"cao tầng, mua sắm, ngắm cảnh, sang trọng, nhà hàng, view đẹp, check-in, sống ảo, biểu tượng thành phố"
Nhà thờ Đức Bà,Quận 1,"kiến trúc, tôn giáo, lịch sử, chụp ảnh, cổ điển, văn hóa, biểu tượng, check-in"
Bưu điện Trung tâm Sài Gòn,Quận 1,"lịch sử, kiến trúc, chụp ảnh, biểu tượng, cổ điển, du lịch, check-in, giáo dục"
Phố đi bộ Nguyễn Huệ,Quận 1,"giải trí, ăn uống, chụp ảnh, mua sắm, đêm, check-in, nhộn nhịp, âm nhạc, dạo phố"
Chợ Bến Thành,Quận 1,"ẩm thực, mua sắm, đặc sản, văn hóa, truyền thống, quà lưu niệm, du khách, check-in, biểu tượng, chợ cổ, địa phương, nhộn nhịp"
Bảo tàng Chứng tích Chiến tranh,Quận 3,"lịch sử, giáo dục, bảo tàng, chiến tranh, văn hóa, hiện vật, du khách, trải nghiệm, tìm hiểu, di tích"
Công viên Tao Đàn,Quận 1,"công viên, thư giãn, cây xanh, dã ngoại, đi bộ, yên tĩnh, thiên nhiên, tập thể dục, picnic, hoa, cảnh quan"
Thảo Cầm Viên Sài Gòn,Quận 1,"động vật, thiên nhiên, vui chơi, gia đình, trẻ em, chụp ảnh, học tập, cây xanh, lịch sử, bảo tồn, sở thú"
Bitexco Tower,Quận 1,"cao tầng, ngắm cảnh, thành phố, hiện đại, sang trọng, skydeck, nhà hàng, skyline, biểu tượng, view đẹp, đêm, check-in"
Bến Nhà Rồng,Quận 4,"lịch sử, bảo tàng, di tích, sông Sài Gòn, văn hóa, Hồ Chí Minh, giáo dục, tham quan, biểu tượng"
Khu phố Tây Bùi Viện,Quận 1,"giải trí, bar, nightlife, âm nhạc, du khách, ăn uống, check-in, sôi động, phố đêm, party, người nước ngoài, vui chơi"
Khu ChinaTown (Chợ Lớn),Quận 5,"văn hóa, ẩm thực, người Hoa, chùa, lịch sử, mua sắm, truyền thống, check-in, di tích, tôn giáo, đặc sản, tâm linh"
Khu du lịch Văn Thánh,Quận Bình Thạnh,"ăn uống, hồ bơi, thư giãn, gia đình, dã ngoại, thiên nhiên, check-in, không gian xanh, picnic, tổ chức sự kiện"
Công viên nước Đầm Sen,Quận 11,"vui chơi, nước, trẻ em, giải trí, gia đình, trượt nước, công viên, lễ hội, mùa hè, năng động"
Công viên Suối Tiên,Thành phố Thủ Đức,"vui chơi, giải trí, văn hóa, tâm linh, lễ hội, gia đình, trẻ em, check-in, khu du lịch, truyền thống"
AEON Mall Tân Phú,Quận Tân Phú,"mua sắm, ẩm thực, xem phim, giải trí, gia đình, siêu thị, thương hiệu, hiện đại, vui chơi, check-in"
Vincom Center Đồng Khởi,Quận 1,"mua sắm, thương hiệu, sang trọng, ăn uống, thời trang, hiện đại, cao cấp, trung tâm thương mại, check-in"
Bảo tàng Mỹ thuật TP.HCM,Quận 1,"nghệ thuật, kiến trúc, chụp ảnh, cổ điển, văn hóa, tranh, triển lãm, lịch sử, sáng tạo, check-in"
Cầu Ánh Sao,Quận 7,"ngắm cảnh, chụp ảnh, đêm, lãng mạn, đi bộ, ánh sáng, hồ Bán Nguyệt, check-in, tình yêu, view đẹp"
Crescent Mall,Quận 7,"mua sắm, ăn uống, hiện đại, gia đình,xem phim, thương hiệu, giải trí, check-in, trung tâm, sang trọng"
Bảo tàng Áo dài, Quận 9,"văn hóa, truyền thống, nghệ thuật, lịch sử, áo dài, Việt Nam, bảo tàng, trang phục, chụp ảnh, check-in, di sản, giáo dục, yên tĩnh, sông nước, kiến trúc, du lịch, nữ tính, nghệ nhân, làng quê, không gian xanh, hoài cổ"
